appID	name	developer	pending	genre	ratings	link
1	Andalax	Schumm LLC	false	Drama Thriller	8	1
2	Sonsing	King-Willms	true	Comedy	8	1
3	Treeflex	Sauer, Keebler and Franecki	true	Comedy Musical Romance	8	10
4	Transcof	Larson-Boyer	true	Comedy Horror	10	10
5	Zaam-Dox	Nader-Nader	true	Drama Fantasy Mystery	4	7
6	Daltfresh	Nicolas, Osinski and Greenholt	false	Crime Drama	7	4
7	Sub-Ex	Hayes-Hegmann	true	Crime Drama	10	3
8	Transcof	Dicki-Kirlin	false	Crime Drama Mystery Thriller	8	4
9	Biodex	Nolan, Brakus and Russel	false	Adventure Crime Horror	1	2
10	Tempsoft	Fisher, Kerluke and Halvorson	true	Drama	4	5
11	Home Ing	Volkman LLC	false	Action Drama Thriller	8	2
12	Lotstring	Grimes LLC	true	Drama	8	1
13	Asoka	Powlowski-Goyette	true	Documentary	3	10
14	Span	Fay-Bailey	false	Documentary Drama	10	9
15	Zamit	Torp-Halvorson	true	Drama Fantasy	9	3
16	Tin	Moen-Funk	true	Mystery Thriller	3	3
17	Tresom	Homenick and Sons	true	Comedy Drama	1	10
18	Domainer	Cummings LLC	true	Comedy Thriller	10	8
19	Zathin	Lehner-Terry	false	Animation	2	7
20	Voyatouch	O'Conner, Bogan and Harber	true	Comedy Drama	4	5
21	Ventosanzap	Bradtke-Spencer	true	Sci-Fi Thriller	5	10
22	Tres-Zap	Bins, Green and Hettinger	false	Drama	4	6
23	Tres-Zap	Kunze Inc	true	(no genres listed)	8	9
24	Biodex	Rowe Group	false	Comedy	10	1
25	Alpha	Hand-Schiller	true	Comedy	1	9
26	Alpha	Hegmann, Windler and Wisoky	true	Crime Drama Horror Thriller	2	3
27	Zoolab	Tromp-Renner	true	Adventure Children Drama	5	2
28	Mat Lam Tam	Bosco-Quitzon	false	Drama Romance Western	8	3
29	Cardify	Kris-Stark	true	Drama Romance	3	1
30	Job	Towne-Wolff	false	Adventure Children	4	1
31	Veribet	Windler LLC	false	Comedy Fantasy Romance	10	4
32	Subin	Hickle Group	true	Action Adventure Crime Thriller	7	6
33	Treeflex	Upton Inc	true	Drama Romance Thriller	6	6
34	Job	Schaefer LLC	true	Crime Drama Thriller	7	9
35	Stronghold	Schuster, Kuhn and Schaefer	false	Adventure Crime Drama Thriller	4	6
36	Pannier	Rempel-Bechtelar	false	Horror Mystery	8	3
37	Cardify	Cole, O'Hara and Walker	true	Horror Thriller	7	3
38	Zathin	Botsford Group	true	Comedy	2	1
39	Overhold	Runolfsdottir, Batz and Walter	false	Drama	10	3
40	Gembucket	Gleason-Durgan	true	Comedy	4	2
41	Trippledex	Marquardt LLC	true	Drama	1	4
42	Cardify	Jones, Nienow and Schowalter	false	Action Drama	1	9
43	Voyatouch	Lakin, Volkman and Ward	false	Drama Romance	10	9
44	Hatity	Beer Inc	false	Adventure Animation Fantasy Romance	8	1
45	Daltfresh	Volkman, Cassin and Feest	true	Drama Romance	10	1
46	Sonsing	Lind, Weissnat and Rogahn	false	Documentary	8	7
47	Flowdesk	Padberg and Sons	false	Animation Children Comedy Romance	3	1
48	Zontrax	Gutkowski LLC	false	Horror	7	4
49	Y-Solowarm	Mann-Gutkowski	false	Comedy	9	10
